text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack
phobia nonsense . people aren't afraid of queers or tranis . they're disgusted and repelled b,0.5550837,0.42206296,0.660731,0.22776257,0.6131393,0.32529438,0.13043876,0.7973564
provides us with another example of why jews should be excluded from white countries #withjewswelose,0.5750231,0.64435804,0.48559374,0.3365589,0.42211568,0.13968684,0.7000046,0.8782146
racist and rapist,0.8129004,0.80168146,0.8301602,0.5094605,0.7534608,0.92006356,0.6623754,0.8546686
says the racist white privileged . stop  only making yourself look stupid af,0.91406596,0.7447309,0.942489,0.31158644,0.783563,0.19536458,0.18413362,0.8801279
strong leaders are more important than the peasants . white house would be a mud hut w / o white direction,0.35227737,0.22881277,0.46389437,0.33819127,0.30922934,0.11589638,0.19321287,0.53389406
the heighth of ironybro activism is drinking milk in public while your massive man-tits jiggle for the,0.6430099,0.63736236,0.6840229,0.7784964,0.7532383,0.9274784,0.4455696,0.38740745
we're going to destroy the white race and there's nothing you can do about it,0.7382047,0.8005711,0.56489784,0.38024873,0.5370727,0.17672384,0.9533248,0.92455935
white kid walking his dog  shot and killed for no reason by racist blacks | read more : via,0.59863794,0.62454295,0.6356477,0.34413013,0.41931507,0.09965854,0.8562192,0.87698615
white people ate criminals . brown people are islamic terrorists,0.8086813,0.71069705,0.71890914,0.26914647,0.43473154,0.05999668,0.3335975,0.93031657
white power baby,0.33081788,0.28228903,0.33270404,0.488237,0.23968892,0.15038568,0.2531975,0.63536453
worthless cucks . they will be purged in the primaries .,0.7007861,0.7683307,0.80613285,0.58836395,0.8259411,0.7893632,0.8763936,0.6350989
yeah  i know . you and achmed can even get married now  cuck .,0.50272423,0.5089572,0.7153731,0.5093789,0.8052676,0.8343124,0.15208885,0.1769927
you black & you ugly,0.9448569,0.8125564,0.9337733,0.28256276,0.7422003,0.16817921,0.16221341,0.9425452
you know what's so funny about that one guy does a white supremacist act but a muslim can kill thousands and we're islamophobia,0.60845,0.5920869,0.61669254,0.3437103,0.31418392,0.08047344,0.85345256,0.87698615
you sound absolutely stupid and you can always get some white ppl to follow a black man who hates other black ppl ... #devilsobusy,0.93413806,0.7914468,0.9092097,0.34725088,0.83288884,0.20011573,0.23994757,0.9429289
""" australia : pro-hamas jew-haters terrorize bus full of jewish children  screaming  """" kill the jews """" """" and """" """" heil hitler """" """" """"""",0.8269591,0.80072755,0.70199466,0.43032748,0.6222302,0.25346595,0.92843693,0.9048864
""" they gotta go . not about  """" hate """" """" - just recognizing them as hostile alien enemies of white race """"""",0.5012814,0.5437442,0.5690172,0.47062516,0.3982601,0.21527933,0.513753,0.80118483
( ( ( msm ) ) ): whites are evil racist planet killers and need to stop breeding also white countries must have non-white immigration to survive,0.7969615,0.7639752,0.80522406,0.41966605,0.62138623,0.2289973,0.6992741,0.92455935
1.6 billion peaceful muslims - th 1s that hate n kill each other + th 1s that chant hate infidel,0.7007861,0.61017895,0.6386127,0.4442669,0.5961627,0.24558115,0.7666186,0.8090794
: obama finally showing his muslim roots,0.35336453,0.316306,0.32486162,0.35333177,0.19785842,0.12557058,0.18019861,0.6876685
america's freedoms are too good for these muslims that hate us they should be deported immediately,0.5958905,0.66978186,0.5650406,0.42246813,0.39342934,0.11022738,0.74127597,0.92215836
black people are the most racist group of any race,0.7593913,0.6539398,0.68677825,0.27133363,0.5090102,0.1351701,0.14745684,0.8631562
christinas kill  jews kill  hindus too  buddhists too . all against muslims,0.9107452,0.8486256,0.6356477,0.30496642,0.61260134,0.11534751,0.9570354,0.9426201
funny cause he went peak cuck for israel & likely hasn't changed,0.39230084,0.4141624,0.5737844,0.40790403,0.69309914,0.68371606,0.16476572,0.63288
i hate black people,0.9189384,0.8486256,0.7715074,0.17409545,0.7290905,0.12838076,0.3860488,0.96805567
i know that turkroaches would kill to be actually white  but they never will be  they'll always just be vermin .,0.5026305,0.6854697,0.7896577,0.40900698,0.6025697,0.2029393,0.8908898,0.8545167
if you speak about islamist terrorism  you get snipped at by one muslim and 4329 white apologists . prolly cuz islamists mostly kill muslims,0.7509647,0.6848526,0.65948516,0.488124,0.4338809,0.14300498,0.8828932,0.9073329
jew writer for jew york times claims to have no idea why white people are angry at jews and ethnic,0.42631236,0.6253112,0.5686137,0.26453936,0.4397592,0.06712656,0.1949559,0.90060127
jews are anti american  anti white liars and propagandists .,0.73034537,0.6501678,0.79068696,0.3222002,0.5273908,0.10231524,0.24117392,0.92455935
kill and deport all islamic invaders ! ! ! save your people and your country ! ! !,0.96176314,0.91905266,0.7660886,0.28560612,0.6201281,0.08482674,0.98462415,0.95404303
more i learn  more i realize how similar jews & muslims are . both are clearly an alien parasite in white society .,0.7593913,0.68570405,0.84793437,0.36439028,0.6475721,0.16260736,0.25307196,0.92455935
muhammad was false prophet.should jews kill because christians believe in messiah.christians kill cause some won't ?,0.5958905,0.7638179,0.54816127,0.29198197,0.43661687,0.06819399,0.91432226,0.9116215
muslim who murdered jewish girlfriend says im going to kill every jew . one isnt enough for me .,0.7699882,0.80814576,0.6274317,0.36340377,0.5263074,0.07400268,0.9688553,0.92489535
oxymoron rt signed white ppl just fart trailer trash,0.8795294,0.67304283,0.8057698,0.4943456,0.7532383,0.3955813,0.33361405,0.8610393
we have seen what anglojews have done to sweden  don't try to tell us that you are white and one of us please .,0.34684154,0.23090489,0.3430911,0.35692355,0.17102906,0.06847263,0.14002223,0.64597654
white nationalists aren't nazis stupid commie .,0.8086813,0.68444556,0.90651,0.33329904,0.783563,0.20457126,0.21358731,0.8921792
white race genocide nonwhites than be genocided,0.67902285,0.85073566,0.80613285,0.48456118,0.75359607,0.39866582,0.92843693,0.9428923
wow  you faggots sure black-pill easily .,0.8457076,0.88849384,0.9481788,0.33568063,0.93920064,0.4808681,0.39915675,0.95291835
yep deb black dumbocrats are loyal to the party of baby butchers . sad,0.5958905,0.46994776,0.68785954,0.38940474,0.3377198,0.17076547,0.1928016,0.7396212
you're a muslim hater . no white person or christian has committed mass shootings in america ?,0.6777893,0.74497277,0.74644744,0.44388008,0.42524657,0.11536257,0.7779136,0.9367597
"""  """" lol you aren't being wiped off the planet ! you're a paranoid racist white supremacist ! """" """" """" """" lol kill all whites """" """" #whitepower """"""",0.9254919,0.8416842,0.9091764,0.4108049,0.6222302,0.1841725,0.8763936,0.9430493
"""  """" white lives matter """" """" sounds gay af """"""",0.8393344,0.36140424,0.53795296,0.24410197,0.38464913,0.49131414,0.079670936,0.6846999
""" wow  what a huge turnout . could find anymore whitebread that lives on mommy's couch ? enjoy jail  retards ! ! ! counterexample to  """" white pride """" """" """"""",0.6611312,0.67978513,0.8703002,0.43941137,0.6354851,0.18503596,0.4600706,0.8547447
: kkk alive and well white brother hood unite ku klux klan crying .,0.50221276,0.21686852,0.26404536,0.50507003,0.15371706,0.14299947,0.5146951,0.38856268
after dallas  cucks rebel against the drudge report via,0.39421332,0.55774456,0.56244755,0.44709617,0.6541943,0.6189089,0.48091912,0.49535996
all the jews must die in order for the white race to survive !,0.8635976,0.91905266,0.8058816,0.40592775,0.74322355,0.22259283,0.9755639,0.96805567
and now white sports fans get to see how  when their numbers grow  coons can and do ruin everything for us !,0.5023275,0.2877437,0.5693478,0.2410028,0.30695298,0.060166087,0.12789106,0.7250982
black man openly fantasizes about slaughtering white girls during race war ( video ) via,0.5958905,0.7781192,0.6638795,0.4501674,0.6922389,0.5627196,0.8908898,0.92967725
cuckservatives : trump and white identity politics via #cuckservative #gopsmartset #trump2016,0.56268007,0.47886658,0.59381944,0.40941808,0.7142159,0.46013317,0.17910457,0.6350989
don't be stupid ! ! american classic idiot ! ! !,0.91406596,0.6651557,0.97601134,0.27122003,0.783563,0.057285428,0.22910832,0.58523935
fair is a white trash supremacist outfit  or so we are told .,0.7627802,0.49817452,0.79907906,0.2704275,0.42684358,0.082746826,0.14883177,0.88777333
heil hitler and long live ns,0.4396069,0.49299663,0.3566512,0.3633727,0.293566,0.23797594,0.760577,0.5380036
i hope they kill white antifa .,0.8346757,0.8486256,0.596558,0.31491745,0.6065651,0.08084562,0.986512,0.92455935
i'll kill a black person to join ..,0.9107452,0.9023963,0.64446366,0.24197073,0.6199976,0.06273396,0.986512,0.9546876
it's not islamophobia ... radical's promise to kill you ! ! join or die that is their religion / hate ! ! join pray,0.7382047,0.7908668,0.660731,0.2841498,0.5378052,0.09283359,0.96504146,0.893207
long live the white race !,0.42092466,0.3710077,0.3538911,0.43651244,0.31161106,0.20991808,0.25166526,0.68199533
really ? yur just a white supremacist racist pig who us all look like slime .,0.8890526,0.7050493,0.93234444,0.37384394,0.4332892,0.16409981,0.13205777,0.91547614
religious liberty for christians in our christian countryno liberties for muslims  nor satanic atheists . church of,0.5550837,0.55776304,0.5616035,0.33274165,0.41983584,0.15718397,0.32759237,0.8729685
so it targets faggots and blacks  looks like god is trying to help out the white race .,0.73034537,0.8430463,0.895227,0.372072,0.8868394,0.4791481,0.36836806,0.95402986
that's right i forgot  jews infest every white nation and cause trouble .,0.5851118,0.7076737,0.6953855,0.3353477,0.6176548,0.16608092,0.60511374,0.93610764
the gay white mosque,0.7007861,0.71167886,0.79517424,0.3130474,0.69309914,0.498383,0.26580805,0.9047819
they are out smarting u . anither proof had the whites not raped the world they wud have been puny little bugs !,0.6237118,0.6340411,0.71425873,0.5457192,0.6927007,0.859566,0.58705163,0.8100515
white faggots,0.8831064,0.87111956,0.9326723,0.30717188,0.9201751,0.55781215,0.2970371,0.9602187
white power ! ! !,0.4151741,0.23409878,0.2707766,0.30464196,0.19211352,0.13769327,0.2008669,0.6003325
white ppl are so stupid . it could b true .. perhaps there are too many white ppl .,0.9358428,0.7359717,0.895227,0.36238068,0.8202731,0.17935899,0.22998872,0.9352267
would world where blacks were genetically dumber than whites look any different from our world ?,0.7545523,0.7211719,0.895227,0.27917284,0.6222302,0.12994987,0.17945357,0.94156384
yeah blacks run fast but they're stupid  prone to violence  and ugly . only a white moron would mix with one .,0.90742445,0.7973961,0.9388668,0.33468223,0.8651069,0.1767278,0.50024205,0.95110136
you're a disgusting racist,0.9017833,0.68413645,0.947229,0.18305477,0.7422003,0.07898011,0.058247034,0.8422688
you're welcome . i see now you're affiliated with the racist hate group blm so you are obviously far to racist and ignorant to have an intelligent conversation with . have you met this lady  ?,0.5958905,0.4704807,0.895227,0.5101337,0.3673605,0.14068094,0.08486131,0.64569145
"""  """" : : one white person started this . so let's blame all white people . """" """" death to the whitezz """" """" """"""",0.83020335,0.72845906,0.68785954,0.38570726,0.3877864,0.09761391,0.91432226,0.9232999
"""  """" : kkk alive and well white brother hood unite ku klux klan """" """" good job crackers """"""",0.56268007,0.25368565,0.31858456,0.52824295,0.19051929,0.2134407,0.49336925,0.42567864
""" a muslim spreadin jew hatred nd blamin all on em  how  """" unusual """" """" ... muslims kill muslims te most  #muhammadlegacy """"""",0.7138269,0.77781755,0.72201157,0.5157161,0.56445116,0.213051,0.8763936,0.92455935
""" cause the lefty  """" men """" """" are d'k-sucking effete cucks . """"""",0.7663013,0.77431077,0.8453147,0.5384186,0.9066618,0.92006356,0.38945726,0.8008965
""" the islamic doctrine of kafir hate .  """" allah  kill the despicable christians """" """" """"""",0.8742253,0.6617642,0.7119435,0.32938877,0.31646276,0.10768945,0.8763936,0.9047819
""" they say  """" bernie is a perverted old jew . """" """" then call me racist for not voting for a wh lady . """"""",0.6769488,0.74957675,0.87741864,0.50246686,0.7532383,0.61130404,0.2575384,0.90071625
#hatfields . this show looks to be typical jew produced anti-white american propaganda . = = = > #wv,0.49542332,0.54126066,0.5676704,0.4602276,0.4390857,0.15996274,0.33101156,0.8770469
#marchagainstsharia interfaith is a lietaqiya is islamic lie to the infidel then muslims will kill america,0.7464593,0.73057634,0.7349859,0.37868515,0.46564057,0.16098687,0.8867501,0.8986749
10 % of norwegian women have been raped by muslim invaders  half before they were 18 | more :,0.502098,0.7639088,0.64407873,0.69230044,0.6542385,0.92006356,0.85995543,0.89100295
: another #jew admits to white #genocide being their goal . must watch # #immigration #racism,0.5535644,0.58841723,0.5868469,0.36945274,0.5043333,0.12329384,0.6106114,0.8724039
: shocking : south african negroes livin ' large  eating sushi off white models via yho ! !,0.57816684,0.6787526,0.6971307,0.5249389,0.65359116,0.34391257,0.4824734,0.8422688
: yes  yes  we get it . deport christians  kill babies  kill old people  deny vet's c,0.8269591,0.80410546,0.4884534,0.25809988,0.5619882,0.1682561,0.9570354,0.87698615
america-white country - being taken over-by white hating africans !,0.6221407,0.6376875,0.70199466,0.43275645,0.4343024,0.1459299,0.45445532,0.9074358
answer my question . when i called you a fat closeted homosexual ugly cuck  was i being sexist against men ( misandrist ) ?,0.83020335,0.8416842,0.9330047,0.3022965,0.91128254,0.778477,0.22041382,0.9539866
christianity and the west in general is cucked by islam  it's pathetic .,0.7212062,0.6620321,0.89636487,0.2482401,0.76740706,0.2593423,0.17950404,0.9047819
does your pedantry argue that negroes are more or less intelligent ?,0.5958905,0.68204635,0.8545933,0.28101566,0.75228953,0.17880547,0.24570619,0.94020694
errr don't white people massacre people almost every year ?,0.5750231,0.4414638,0.36959562,0.2958536,0.21973519,0.09219238,0.7222907,0.7962795
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,0.40016344,0.42383513,0.53332186,0.28620413,0.21485615,0.07451651,0.25209647,0.772556
fact : adl was founded by a jew that raped and murdered a white child.even left wing wikipedia says they're a front to promote israel . #zog,0.5810591,0.75059813,0.73462725,0.5794252,0.7435964,0.8777541,0.82345974,0.92263937
funny thing is he a white idiot,0.9358428,0.7038795,0.9615531,0.2203902,0.8609753,0.07764335,0.13254906,0.92455935
global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,0.452012,0.3170038,0.3976729,0.28693342,0.283901,0.11643997,0.2633713,0.7396329
i believe that white people are the best people  we yellow and black people can only become white slaves,0.6809553,0.45434028,0.4498037,0.22601706,0.3160728,0.09189196,0.20787387,0.7667067
i hope that #trump picks a harmless white man from the south like sessions as his vp---no women  no coons of any stripe .,0.5810591,0.3771154,0.61836547,0.47299173,0.2673926,0.21355078,0.27472088,0.79106414
illegals suck jobs from every level of us work force . flood lowest jobs & cherry pick the best ones . vermin . need orkin !,0.7569718,0.74595666,0.80613285,0.50133824,0.83350897,0.787378,0.3335104,0.8422688
im black and all white people have inferior everything to me,0.7740273,0.7638869,0.7384861,0.29613695,0.5628265,0.13146752,0.48451468,0.9426563
is it any surprise the two party system controlled by jews is anti-white ?,0.4489545,0.34200436,0.42657822,0.27992186,0.2887407,0.11427691,0.1369971,0.8422688
islam is hate . moslims kill each other . go forward and kill more moslim by moslim .,0.95473075,0.8261778,0.7166399,0.28916323,0.6222302,0.18326959,0.9184485,0.94378984
islam must cease to exist and that must be your goal  else they will gobble up white race,0.7007861,0.80520636,0.6356477,0.41688398,0.58932376,0.1781321,0.91432226,0.9384824
it's gay but it doesn't bother me that much because white nationalism isn't bigoted and our side acted,0.5851118,0.50768733,0.58242345,0.234753,0.5090369,0.39790443,0.22312573,0.87698615
italians must be ashamed to have such politicians  white race is finished unless fuhrer intervenes .,0.5026305,0.6033059,0.6371015,0.5536557,0.4770303,0.255924,0.38682628,0.8422688
jeeeewwww aree not of european desent there non white,0.42465788,0.59543675,0.51529026,0.49539208,0.39500192,0.19312434,0.56084657,0.854515
jew stalin & his synagogue israeli bloshevique gang killed 60 000 whites in ussr ! hitler was liberator but was betrayed by jew,0.6887467,0.5993196,0.5667127,0.36504558,0.43810558,0.16647418,0.77856994,0.85585517
jews and nonwhites are openly showing us their hatred right now . when will you get it  white people ?,0.5550837,0.58409053,0.68354297,0.37745124,0.54873854,0.15507491,0.29249236,0.89285785
kill the islamic satanists ! ! !,0.9850823,0.9191132,0.8093716,0.38899523,0.72818995,0.12469272,0.986512,0.96044695
more diversity in america : white couple brutally beaten by racist negroes for no reason | via,0.5851118,0.8458481,0.88075686,0.3834597,0.8052676,0.29272535,0.8763936,0.9536114
more diversity in america : white couple brutally beaten by racist negroes | read more : via,0.6254302,0.8046731,0.8061315,0.42207778,0.69309914,0.25941822,0.849859,0.9352267
no more sand-niggers ! they hate america . look at detroit . scary . these are pure filth these sand-niggers .,0.9254919,0.8416842,0.895227,0.4055791,0.82751006,0.15349318,0.39298287,0.955098
not self inflicted . jews are committing white genocide,0.6887467,0.63998014,0.50807995,0.45344645,0.39572966,0.18028755,0.7578226,0.8614936
people confuse that jew with another jew actor ...,0.355017,0.47570905,0.49287778,0.3827903,0.38041103,0.21012472,0.29912362,0.8008965
retweeted ku klux klan ( ): kkk alive and well white brother hood unite ku klux klan,0.44509158,0.35694733,0.35317463,0.5046656,0.30130318,0.19793089,0.72427845,0.6262153
shhh ! you'll trigger him to hate white people and coon's !,0.7007861,0.77882826,0.70707065,0.3296839,0.5090588,0.12564906,0.92843693,0.94270486
so many #superbowl commercials have crude sexual references in them #thanksjews,0.4458971,0.3766949,0.35540807,0.49948338,0.3358233,0.7860296,0.28255227,0.6196079
that will do for me ! #holohoax #fliers #activism,0.21036349,0.35325146,0.3638479,0.4010202,0.37626427,0.19740124,0.5283201,0.3997178
the end result of racial diversity is latin america : peasants driven by race hatred  doing slave labor 4 oligarchs,0.45964533,0.3324646,0.47025004,0.3145881,0.3788504,0.1458982,0.37425762,0.6807083
the hate crime is that jews control the media and hate the white race .,0.6254302,0.63167006,0.5635895,0.4404003,0.513778,0.16741821,0.47317737,0.90428567
the problem is stupid white liberals who vote against their own culture  society  people  and best interest .,0.8457076,0.67674756,0.895227,0.2678412,0.7297543,0.12905681,0.27062392,0.9226248
time for your babies to die now : black woman caught abusing white infant via,0.83020335,0.8416842,0.7988667,0.5250312,0.69309914,0.58686554,0.9368234,0.9352267
uk : we need to kill all the jews,0.88651687,0.91905266,0.68785954,0.24062651,0.7384392,0.08626414,0.986512,0.9667285
what race are muslims these days ? most of you don't even deserve to b classed as human race you mug,0.60845,0.6453371,0.62603396,0.33308825,0.43780908,0.1051754,0.49333405,0.8748659
what you deserve for being useless white goy i am more than done and ive been trying with you lot for 30 years ps you dont want to hear what i really think with all the new characters your jew overlords let me type in one space now,0.6556601,0.6847216,0.76531255,0.55637175,0.65227294,0.29937315,0.51130146,0.8921792
white nationalists advocating for personalized communities . sounds like him crow . i would say white identity politics is history,0.37647265,0.2666117,0.43073207,0.39718467,0.17084277,0.09221359,0.275981,0.70001847
white people need to start killing the enemy,0.8346757,0.8486256,0.627792,0.21522568,0.50909984,0.060594324,0.98462415,0.94363266
white power . the world of white is dead in 4 yrs,0.54375964,0.4713043,0.4818541,0.28880236,0.30877706,0.1376098,0.6158273,0.8130579
you are most fantastic ; pl . eradicate islam from human civilization .,0.5958905,0.77650005,0.68785954,0.57688785,0.5203566,0.16495275,0.91432226,0.93016666
you guys are gay and ugly,0.97926265,0.84759843,0.9626649,0.27493495,0.8672949,0.50826514,0.20563349,0.95402986
you white people are so foolish . lady you might not even go to school have a seat .,0.89158845,0.6810678,0.93656534,0.25863934,0.6922784,0.12041804,0.083630145,0.92455935
your prob right .. however  the klan would have more money so better weapons,0.18746567,0.08528773,0.19221237,0.30724445,0.060544703,0.04701863,0.3303361,0.15251091
"""  """" moderate """" """" arabs kill jews moderately """"""",0.7627802,0.683964,0.5663068,0.37237078,0.55930394,0.13717291,0.8875628,0.87707835
""" rt :  """" by the quran  we will kill you all  you faggots ! """" """" : muslims attack gay club in paris  beating patrons and sprayi ... ht ... """"""",0.9320454,0.9133435,0.942489,0.40300786,0.88782036,0.49569368,0.9724599,0.9553442
""" rt qur'an on saudi tv : non-muslims  """" worst of creatures """" """" : #islam #islamophobia #tcot """"""",0.502098,0.56641984,0.69054055,0.3676963,0.444305,0.16315429,0.23806536,0.87324375
""" this is propaganda . you're  """" white """" """" . """"""",0.529921,0.31165957,0.46025008,0.34669355,0.19934331,0.13520327,0.22366948,0.7997987
#cuckservative in the new york times via,0.4458971,0.39574888,0.32473558,0.30215368,0.69309914,0.33132502,0.2854097,0.28054145
3 . i can see that time and time again whites have innovated  invented and brought real progress  blacks have not . do you deny this ?,0.44805592,0.34641796,0.45662615,0.37212476,0.30986157,0.14368956,0.2685062,0.79727226
70 niger churches struggle to rebuild after muslim revenge rampage for muhammad cartoons,0.58919406,0.6956467,0.68909854,0.44156694,0.64381814,0.16309464,0.7072459,0.87698615
: david lane : open letter to the dead white race via,0.42631236,0.51735175,0.3984844,0.3863071,0.36862782,0.16579531,0.82345974,0.74610037
: the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite tar,0.86967754,0.80801374,0.93274915,0.36578724,0.8249148,0.23754384,0.40826428,0.9352267
another illegal mexican jew black lover,0.8129004,0.7539815,0.7210657,0.4439866,0.62098694,0.26697588,0.32335934,0.9229689
awww  poor lil fat white thugslol,0.8393344,0.7639538,0.8453147,0.37369934,0.5688426,0.21334487,0.42719263,0.9047819
black angelic behaviour vs white devils . #keithlamontscott,0.49688783,0.5201095,0.68785954,0.26653585,0.6185445,0.17671733,0.24890245,0.8001539
black rasists don't exsist ! white = rasist . black = plague .,0.9017833,0.81554717,0.895227,0.32218087,0.7422003,0.13794053,0.25013098,0.95399237
cucks  mormons ( glenn beck and romney )  carson dropping out  rubio tanking are why i think idaho goes for cruz,0.4945446,0.64941925,0.6428063,0.5035291,0.7111206,0.64766926,0.5592245,0.7014616
deport all muslims ! don't let any more in . they are not compatible with american culture !,0.7545523,0.7639427,0.6389628,0.4027294,0.389684,0.098603755,0.68955344,0.9430493
doesnt matter  the j-media will just make up some lie about him and hammer it until all the cucks disavow .,0.5038962,0.6066804,0.70022905,0.5162883,0.6222302,0.6204797,0.7637244,0.5783532
every liberal  interacial  and white trash does,0.7816909,0.68091154,0.8715089,0.24554926,0.6133398,0.14020589,0.25967404,0.92455935
finns protest against increasing number of non-white invaders #auspol via,0.3598433,0.3838237,0.43917704,0.38426387,0.38949838,0.21563251,0.44956186,0.68333954
good  block the jew funding . that's less shekels for israel good job i'll be shopping at those stores .,0.36667302,0.44962677,0.49344555,0.36988077,0.4359126,0.16176017,0.4165192,0.8179474
good on you mate ! ! ! creepy interviewer jew !,0.7212062,0.72828394,0.7669935,0.3973317,0.6222302,0.16693136,0.4812111,0.9235405
im white and im not your people . you are nothing but delusional trash . you do not belong here or anywhere .,0.8393344,0.65876186,0.93234444,0.32602558,0.4614969,0.08096566,0.25546524,0.6949307
islam is only racist against jews . all others it conquers and subjugates .,0.6662635,0.6806073,0.660731,0.3132141,0.4142377,0.090055965,0.53921264,0.91879964
it is time for the white people to take america back ! we must stop all the black protests immediately !,0.54375964,0.6785104,0.5682492,0.3995728,0.391431,0.15871467,0.7638602,0.8937111
it looks better than the domestic terrorist group .. antifa all black and hiding ugly  repulsive faces .,0.7627802,0.70035964,0.8868615,0.47535253,0.51634264,0.224967,0.32973903,0.9047819
it means white demons .,0.4497033,0.42046103,0.4800694,0.31343323,0.50896573,0.24675943,0.25158665,0.6634479
kill the illegals,0.93413806,0.8486256,0.660731,0.24678099,0.615827,0.07620416,0.986512,0.9425669
kwanzaa is upon us . how to deal with the african street monkeys .,0.6221407,0.7114843,0.8778913,0.30217767,0.65284485,0.11785653,0.3788972,0.9352267
lmao no all white people are despicable and gross and unhygienic,0.6955873,0.80096185,0.88174033,0.21566813,0.6222302,0.11609108,0.37039095,0.9529681
long live the indian nation ! long live its glory ... death to the enemies ... friends happy independence day .,0.42631236,0.6833714,0.46281046,0.43339834,0.31328595,0.10384875,0.9533248,0.82898974
looking forward ~ you will see jew-controlled splc & aclu in many coordinate-efforts to combat anti-semitism & white nationalism,0.37954164,0.48107335,0.5154592,0.54988664,0.37177077,0.24483225,0.43771398,0.8008965
might as well ! they already lots of their own separate stuff . easier to rid them from white america .,0.5026305,0.6003215,0.46447545,0.32091433,0.253491,0.11551541,0.88299036,0.8671147
muslims are despicable people .,0.9189384,0.685281,0.8453147,0.2449635,0.61837614,0.104238525,0.16558523,0.9430493
muslims want to kill us all . you first please .,0.8795294,0.84508497,0.685749,0.35064438,0.6524315,0.12543306,0.95969546,0.9430493
no ! kill your friends who support islam,0.9107452,0.831394,0.5873395,0.20571564,0.56517816,0.07368269,0.9755639,0.92455935
pathetic comments  no force in islam . they wear scarfs no head bags and they marry men,0.59863794,0.5331172,0.895227,0.47592422,0.4558149,0.14399299,0.30551153,0.7996041
repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,0.4254099,0.35100195,0.4838584,0.31240585,0.22845997,0.07541466,0.40156695,0.8008965
so ur not a self hating white  just another white hating irreligious jew .,0.77806646,0.67884237,0.7639497,0.38859522,0.5663966,0.15995203,0.33919877,0.92455935
so you suck up to minorities who hate white people but attempt to shame and for thinking realistically ?,0.6556601,0.68415403,0.80584127,0.36892715,0.73117554,0.5830631,0.26366118,0.9235645
spencer is a racist zionist,0.7007861,0.56897295,0.70199466,0.26576078,0.5027254,0.10311252,0.10753123,0.8008965
that's a anti white agenda perpetrated by the jews,0.5026305,0.63192344,0.62970346,0.34011248,0.5091024,0.16388617,0.36142352,0.92215836
the age of men is over . the time of the cuckservative has come ! #cuckservative #conservacuck #nrx #tcot,0.5026305,0.60365975,0.5399387,0.7346365,0.8327461,0.68314993,0.36586717,0.544959
there you go snowflake  play the race card . securing the borders is not racist,0.30187345,0.12829377,0.2915004,0.24312286,0.13496834,0.033962175,0.06496632,0.3476759
these cucks will continue to cuck in a fit of rage . like the sodomites they are  to punish all who dare not to conform to their degeneracy,0.60845,0.7639776,0.8139626,0.5548241,0.783563,0.778477,0.80888623,0.8008965
they dump negroid invaders in lily white suicidal sweden,0.6777893,0.6826045,0.75590205,0.47197688,0.69309914,0.2415367,0.761397,0.86299396
trump is white trash,0.9320454,0.76390177,0.9091764,0.30239975,0.75361174,0.15371016,0.27142113,0.9430493
truth is #actforisrhell nt fr amrca by bashng amrcn muslims nd thir faith .. once a jew always a jew ..,0.54959583,0.46787232,0.4480125,0.48468894,0.31175518,0.18247803,0.5995625,0.8008965
virginia cuckservative protested for white supremacy at townhall via,0.43622825,0.58835924,0.5631995,0.37071857,0.68681127,0.32113236,0.5234328,0.74628544
what is #romney going to do for white americans ? not for blacks  jews  israel  latinos  asians  queers  etc . #gop,0.50743616,0.67891073,0.6598872,0.30391464,0.56519175,0.2739908,0.25281948,0.89320403
white people like you is telling the latinos and african americans how much hate against our communities .,0.5958905,0.38519144,0.49338874,0.3490439,0.2866132,0.07637066,0.10876131,0.8051021
white racist arseholes,0.9254919,0.82215196,0.87740237,0.43026245,0.876051,0.7893632,0.25558195,0.93749803
you completely misunderstood jared and myself stupid jew,0.8635976,0.7750557,0.93844885,0.26417944,0.876051,0.12410161,0.24624354,0.94556093
you guys must have pretty miserable penises to hate blacks that much .,0.91406596,0.89362836,0.90519416,0.6942467,0.9534914,0.97458434,0.5893218,0.94778013
you should be put behind bars you stupid devil - you influenced breivik to kill hundreds of innocents - you terrorist devil ! ! !,0.93413806,0.87521183,0.9574669,0.34629604,0.876051,0.2427723,0.9570354,0.73477
"""  """" : i killed them because they were white """" """" ; """"""",0.7382047,0.6843109,0.5595017,0.35848615,0.38153633,0.122151494,0.91432226,0.8008965
"""  """" : uk muslim texted  """" """" i'm going to go jew bashing  """" """" then beat up a jew """" """" #isis #muslims """"""",0.7593913,0.7638174,0.62721753,0.58997464,0.6201777,0.320975,0.88131744,0.89210224
"""  """" i hate you all """" """" - racist note from the black boy who raped his white teacher & slit her throat via """"""",0.90742445,0.8416842,0.8045244,0.669573,0.7532383,0.9274784,0.91432226,0.9430493
"""  """" stop being racist """" """" lol yes  surely they will love the beaners more after you call them ' white trash . ' #diversitybraintrust """"""",0.7509647,0.57569206,0.80613285,0.40717617,0.5841508,0.15469016,0.16762775,0.867429
